Hounds Of Love,Kate Bush,480
Punisher,Phoebe Bridgers,345
eternal sunshine,Ariana Grande,294
Salihi x Ferizi,Mc Kresha,274
eternal sunshine deluxe: brighter days ahead,Ariana Grande,250
Walking On A Dream,Empire Of The Sun,197
Lust For Life,Lana Del Rey,148
You Will Never Know Why (2021 Remaster),Sweet Trip,117
Short n' Sweet,Sabrina Carpenter,106
This Is Frederik Ndoci (Compilation 2),Frederik Ndoci,97
Rumours,Fleetwood Mac,86
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,85
Speak for Yourself,Imogen Heap,79
Ctrl,SZA,70
Live @ Uzina,Shkodra Elektronike,67
Ultraviolence,Lana Del Rey,66
Carrie & Lowell,Sufjan Stevens,66
Addison,Addison Rae,63
AfÃ«r & Larg,Elvana Gjata,63
BEYONCÃ‰ [Platinum Edition],BeyoncÃ©,62
Static & Silence,The Sundays,56
ANTI,Rihanna,55
Stranger in the Alps,Phoebe Bridgers,55
Costello Music,The Fratellis,54
Blue Banisters,Lana Del Rey,53
the record,boygenius,52
Chemtrails Over The Country Club,Lana Del Rey,51
Glory Days,Little Mix,51
Fantasies,Metric,49
k bye for now,Ariana Grande,46
Greatest Hits 1,Etnon,46
New Compassion,HAERTS,45
"Alright, Still",Lily Allen,45
The Bends,Radiohead,45
The sound from the ILLYRIAN lands,Agron Pllumaj,42
Norman Fucking Rockwell!,Lana Del Rey,40
Get Weird,Little Mix,39
Zimasamshevy,Lyrical Son,38
TRILOGJI (Kapitulli I - GRADA),Elvana Gjata,38
The Fame,Lady Gaga,37
Salute,Little Mix,37
Bella Donna,Stevie Nicks,37
Hurry Up Tomorrow,The Weeknd,37
Confetti,Little Mix,34
The Divine Feminine,Mac Miller,33
Glitter,Mariah Carey,33
Paramore,Paramore,33
Dangerous Woman,Ariana Grande,33
Recept,Lyrical Son,32
After Laughter,Paramore,31
Positions,Ariana Grande,31
Born To Die,Lana Del Rey,31
Honeymoon,Lana Del Rey,31
Fine Line,Harry Styles,29
Details,Frou Frou,29
Fleetwood Mac,Fleetwood Mac,29
Sweetener,Ariana Grande,29
MA I MADHI N'VEN,Tingulli Trent,29
Pika per vesh,Tingulli Trent,29
COWBOY CARTER,BeyoncÃ©,28
Lover,Taylor Swift,28
Red (Taylor's Version),Taylor Swift,27
Currents,Tame Impala,26
Prelude to Ecstasy,The Last Dinner Party,26
HIT ME HARD AND SOFT,Billie Eilish,26
Born To Die - The Paradise Edition,Lana Del Rey,26
Lady Bird (Original Motion Picture Soundtrack),Jon Brion,25
Parachutes,Coldplay,25
DNA,Little Mix,25
Songs From The Big Chair,Tears For Fears,24
Flower of the soul,Liana Flores,23
Plastic Hearts,Miley Cyrus,23
Feels Like Home,Norah Jones,22
Starboy,The Weeknd,22
The Rise and Fall of a Midwest Princess,Chappell Roan,22
"thank u, next",Ariana Grande,21
Blunt per President,Blunt & Real,21
Lugina e dashurisÃ«,ILIR SHAQIRI,21
In Rainbows,Radiohead,21
Time Flies... 1994-2009,Oasis,20
Best Of,Blero,20
Random Access Memories,Daft Punk,20
