2025-06-12,185,387.263500,Kate Bush,47,120.303250
2025-08-22,180,219.929316,Lana Del Rey,20,10.127666
2025-08-10,171,189.977133,Adele,19,9.733333
2025-06-11,167,310.119316,Imogen Heap,38,5.825566
2025-06-27,158,304.938483,Etnon,18,4.229666
2025-08-18,157,167.101483,Ariana Grande,19,5.999733
2025-08-15,156,140.632583,Ariana Grande,18,6.807600
2025-08-16,144,131.747566,Billy Joel,9,6.014333
2025-04-26,126,488.132100,Ariana Grande,37,49.077016
2025-05-20,124,239.746016,NAPA,36,99.801250
2025-03-14,124,209.549866,Ariana Grande,17,25.553516
2025-10-11,124,140.922566,Beyonc̩,18,22.816783
2025-02-20,120,158.083116,Stephen Sondheim,31,0.642950
