Zjerm,434
Running Up That Hill (A Deal With God),205
Chinese Satellite,187
Walk On By,154
We Are The People,136
bye,118
ICU,113
Swan Lake,113
Deslocado,110
twilight zone,102
Bleed (feat. Omar Apollo),101
Cloudbusting - 2018 Remaster,98
Hounds Of Love,95
Balerina,94
Remember When,91
Your World is Eternally Complete - 2021 Remaster,87
Thana,81
Loco,80
Zjerm - Eurovision 2025 - Albania / Karaoke,78
Suedehead - 2011 Remaster,75
Balada E Gurit,74
VONE,67
eternal sunshine,67
Molla E ParÃ«,62
Simulation Swarm,62
The Big Sky - 2018 Remaster,62
Neser shkoj,58
Heartthrob,58
PranverÃ« E Bukur,56
Get Free,55
dandelion,55
Zjarr E Akull,53
Standing On The Shore,51
