2025-06-12,185,387.263500,Kate Bush,47,120.303250
2025-06-11,167,309.996650,Imogen Heap,38,5.825566
2025-06-27,158,304.911483,Etnon,18,4.229666
2025-04-26,126,488.132100,Ariana Grande,37,49.077016
2025-05-20,124,239.746016,NAPA,36,99.801250
2025-06-17,114,248.983133,Lana Del Rey,32,17.088483
2025-06-20,114,193.209666,Kate Bush,15,20.785350
2025-05-18,110,175.995166,Florence + The Machine,22,18.602633
2025-04-17,109,192.890783,Ariana Grande,27,13.831883
2025-05-03,108,256.759233,Radiohead,38,27.648700
2025-07-09,101,78.766933,Ariana Grande,13,9.130933
2025-05-13,97,163.895150,Ariana Grande,22,35.136783
2025-05-17,96,134.633150,Shkodra Elektronike,36,55.642100
2025-06-24,94,277.788950,Lana Del Rey,57,59.948333
2025-07-12,88,140.955983,Little Mix,16,3.228883
2025-07-16,88,270.014050,The Sundays,18,35.954633
2025-05-24,87,197.086050,Mc Kresha,23,33.037750
2025-05-15,86,194.378483,Malcolm Todd,17,34.824450
2025-07-11,86,93.689583,Little Mix,21,12.969833
2025-04-24,85,175.176350,Beyonc̩,15,14.215050
2025-07-14,83,187.912116,Addison Rae,17,29.360100
2025-05-29,82,86.406966,The Chicks,14,5.582333
2025-06-10,81,286.616883,Shkodra Elektronike,30,56.294933
2025-05-10,80,209.792783,Ariana Grande,66,56.722150
2025-04-15,79,199.116300,Ariana Grande,18,21.370850
2025-06-16,76,171.734466,Kate Bush,23,59.878083
2025-07-19,76,129.381783,Norah Jones,35,7.093300
2025-05-04,75,124.525450,Lyrical Son,33,15.261283
2025-04-28,73,159.482600,Lana Del Rey,19,19.814033
2025-05-19,72,326.766800,daniel.mp3,30,58.702250
2025-07-08,72,60.174900,Beyonc̩,5,3.296933
2025-07-22,71,135.379850,Royal Philharmonic Orchestra,14,4.184166
2025-06-05,69,110.260500,Lola Young,15,41.130083
2025-05-30,67,160.607733,Ariana Grande,12,9.895000
2025-04-16,67,139.330816,Ariana Grande,23,21.353033
2025-04-12,66,116.420966,Tayna,11,23.493666
2025-07-03,66,171.721200,Elvana Gjata,30,28.629683
2025-07-15,65,177.917933,The Sundays,16,16.338233
2025-06-08,65,43.439916,Fiona Apple,9,2.513383
2025-05-16,64,109.758766,Shkodra Elektronike,19,40.018333
2025-07-04,64,91.631550,Lana Del Rey,12,12.603666
2025-04-23,62,78.684716,The Smiths,7,4.466500
2025-06-18,61,215.179350,Lana Del Rey,33,21.845350
2025-06-19,60,226.606816,Little Mix,36,6.413000
2025-06-06,59,133.381083,Ariana Grande,22,15.081833
2025-04-18,58,119.699250,Ariana Grande,15,13.662416
2025-04-21,57,229.179116,Empire Of The Sun,37,117.540866
2025-05-02,56,373.135716,Lana Del Rey,42,84.469200
2025-07-23,56,206.589083,Big Thief,30,107.511083
2025-06-02,53,374.602500,Pyotr Ilyich Tchaikovsky,31,102.137700
2025-06-15,52,176.321966,Kate Bush,20,33.595916
2025-04-30,52,62.730616,Shkodra Elektronike,8,6.676516
2025-05-28,50,137.280150,Mc Kresha,30,35.131066
2025-06-13,49,181.566966,Kate Bush,27,60.622000
2025-04-20,49,310.303400,Empire Of The Sun,26,76.787550
2025-04-22,48,60.922233,Empire Of The Sun,8,19.108500
2025-06-07,48,167.309483,Royal Philharmonic Orchestra,13,1.988000
2025-07-20,48,143.162033,Lana Del Rey,13,3.980333
2025-06-29,48,92.309716,Ariana Grande,10,3.830716
2025-06-04,47,178.977216,Lola Young,47,138.147366
2025-05-31,47,293.176983,Shkodra Elektronike,29,52.796983
2025-04-29,47,43.939566,Ariana Grande,16,9.633000
2025-04-19,47,150.675933,Ariana Grande,14,20.373583
2025-05-14,47,153.886316,Shkodra Elektronike,13,26.642700
2025-04-25,45,92.805433,Ariana Grande,7,10.722900
2025-07-26,45,103.686066,Agron Pllumaj,9,0.906666
2025-04-14,44,191.391533,Tayna,21,22.459566
2025-05-05,44,376.965383,Lana Del Rey,35,106.020783
2025-04-13,43,160.160966,Tayna,10,14.970266
2025-05-22,43,215.309333,Mc Kresha,28,44.080366
2025-05-25,42,198.984483,Ariana Grande,20,24.846916
2025-06-28,42,140.706750,Kate Bush,15,34.511216
2025-07-27,40,46.680716,Mc Kresha,7,8.152783
2025-07-25,40,149.711250,Mc Kresha,13,18.631700
2025-07-24,39,106.541683,Big Thief,9,31.822733
2025-07-01,39,92.431900,ILIR SHAQIRI,10,4.854000
2025-05-27,39,156.881933,Taylor Swift,16,18.149783
2025-07-05,38,131.041166,Lana Del Rey,19,27.153700
2025-07-17,38,80.389550,Shkodra Elektronike,4,7.629550
2025-07-10,37,54.894100,Ariana Grande,8,18.489700
2025-07-06,36,63.623650,Mariah Carey,8,8.733833
2025-05-26,36,168.244016,Mc Kresha,26,51.901316
2025-06-21,36,233.354500,Kate Bush,25,57.864083
2025-05-07,36,39.267300,Bratz,6,0.689766
2025-05-09,36,42.005083,Lana Del Rey,14,14.528916
2025-05-01,35,106.201800,Shkodra Elektronike,9,18.517683
2025-06-26,35,283.878850,Kate Bush,24,75.038733
2025-06-03,35,118.606833,Lola Young,15,38.343866
2025-04-27,33,31.803433,Lana Del Rey,5,2.416833
2025-07-02,32,121.217466,Kate Bush,12,33.590500
2025-06-01,31,503.546966,Pyotr Ilyich Tchaikovsky,81,284.122083
2025-07-07,30,66.950816,Ariana Grande,15,10.294483
2025-07-21,29,64.714950,Kate Bush,7,9.922183
2025-06-23,28,67.381466,Shkodra Elektronike,9,9.290683
2025-07-18,27,65.102050,Mariah Carey,5,2.467666
2025-05-21,26,115.238666,Frederik Ndoci,15,35.619783
2025-05-06,25,51.275916,Taylor Swift,5,0.188333
2025-06-09,24,88.136950,Sufjan Stevens,9,25.910516
2025-05-12,21,131.500033,Shkodra Elektronike,12,20.310633
